#Common	Kanji	Simpl.	Kun'yomi	On'yomi	Pinyin
縣	県	县		ケン	xiàn
儉	倹	俭		ケン	jiǎn
兼	兼	兼	か-ねる	ケン	jiān
劍	剣	剑	つるぎ	ケン	jiàn
拳	拳	拳	こぶし	ケン	quán
軒	軒	轩	のき	ケン	xuān
健	健	健	すこ-やか	ケン	jiàn
險	険	险	けわ-しい	ケン	xiǎn
圈	圏	圈		ケン	quān
堅	堅	坚	かた-い	ケン	jiān
檢	検	检		ケン	jiǎn
嫌	嫌	嫌	きら-う、いや	ケン、（ゲン）	xián
獻	献	献		ケン、（コン）	xiàn
絹	絹	绢	きぬ	ケン	juàn
遣	遣	遣	つか-う、つか-わす	ケン	qiǎn
權	権	权		ケン、（ゴン）	quán
憲	憲	宪		ケン	xiàn
賢	賢	贤	かしこ-い	ケン	xián
謙	謙	谦		ケン	qiān
鍵	鍵	键	かぎ	ケン	jiàn
繭	繭	茧	まゆ	ケン	jiǎn
顯	顕	显		ケン	xiǎn
驗	験	验		ケン、（ゲン）	yàn
懸	懸	悬	か-ける、か-かる	ケン、（ケ）	xuán
元	元	元	もと	ゲン、ガン	yuán
幻	幻	幻	まぼろし	ゲン	huàn
玄	玄	玄		ゲン	xuán
言	言	言	い-う、こと	ゲン、ゴン	yán
弦	弦	弦	つる	ゲン	xián
限	限	限	かぎ-る	ゲン	xiàn
原	原	原	はら	ゲン	yuán
現	現	现	あらわ-れる、あらわ-す	ゲン	xiàn
舷	舷	舷		ゲン	xián
減	減	减	へ-る、へ-らす	ゲン	jiǎn
源	源	源	みなもと	ゲン	yuán
嚴	厳	严	おごそ-か、きび-しい	ゲン、（ゴン）	yán
己	己	己	おのれ	コ、キ	jǐ
古	古	古	ふる-い、ふる-す	コ	gǔ
呼	呼	呼	よ-ぶ	コ	hū
固	固	固	かた-める、かた-まる、かた-い	コ	gù
股	股	股	また	コ	gǔ
虎	虎	虎	とら	コ	hǔ
孤	孤	孤		コ	gū
弧	弧	弧		コ	hú
故	故	故	ゆえ	コ	gù
枯	枯	枯	か-れる、か-らす	コ	kū
個	個	个		コ	gè
庫	庫	库		コ、（ク）	kù
湖	湖	湖	みずうみ	コ	hú
雇	雇	雇	やと-う	コ	gù
鼓	鼓	鼓	つづみ	コ	gǔ
錮	錮	锢		コ	gù
顧	顧	顾	かえり-みる	コ	gù
五	五	五	いつ、いつ-つ	ゴ	wǔ
互	互	互	たが-い	ゴ	hù
午	午	午		ゴ	wǔ
悟	悟	悟	さと-る	ゴ	wù
語	語	语	かた-る、かた-らう	ゴ	yǔ
誤	誤	误	あやま-る	ゴ	wù
護	護	护		ゴ	hù
口	口	口	くち	コウ、ク	kǒu
工	工	工		コウ、ク	gōng
公	公	公	おおやけ	コウ	gōng
勾	勾	勾		コウ	gōu
孔	孔	孔		コウ	kǒng
功	功	功		コウ、（ク）	gōng
巧	巧	巧	たく-み	コウ	qiǎo
廣	広	广	ひろ-い、ひろ-まる、ひろ-める、ひろ-がる、ひろ-げる	コウ	guǎng
甲	甲	甲		コウ、カン	jiǎ
交	交	交	まじ-わる、まじ-える、ま-じる、ま-ざる、ま-ぜる、か-う、か-わす	コウ	jiāo
光	光	光	ひか-る、ひかり	コウ	guāng
向	向	向	む-く、む-ける、む-かう、む-こう	コウ	xiàng
后	后	后		コウ	hòu
好	好	好	この-む、す-く	コウ	hǎo
江	江	江	え	コウ	jiāng
考	考	考	かんが-える	コウ	kǎo
行	行	行	い-く、ゆ-く、おこな-う	コウ、ギョウ、（アン）	xíng
坑	坑	坑		コウ	kēng
孝	孝	孝		コウ	xiào
抗	抗	抗		コウ	kàng
攻	攻	攻	せ-める	コウ	gōng
更	更	更	さら、ふ-ける、ふ-かす	コウ	gèng
效	効	效	き-く	コウ	xiào
幸	幸	幸	さいわ-い、さち、しあわ-せ	コウ	xìng
拘	拘	拘		コウ	jū
肯	肯	肯		コウ	kěn
侯	侯	侯		コウ	hóu
厚	厚	厚	あつ-い	コウ	hòu
恆	恒	恒		コウ	héng
洪	洪	洪		コウ	hóng
皇	皇	皇		コウ、オウ	huáng
紅	紅	红	べに、くれない	コウ、（ク）	hóng
荒	荒	荒	あら-い、あ-れる、あ-らす	コウ	huāng
郊	郊	郊		コウ	jiāo
香	香	香	か、かお-り、かお-る	コウ、（キョウ）	xiāng
候	候	候	そうろう	コウ	hòu
校	校	校		コウ	xiào
耕	耕	耕	たがや-す	コウ	gēng
航	航	航		コウ	háng
貢	貢	贡	みつ-ぐ	コウ、（ク）	gòng
降	降	降	お-りる、お-ろす、ふ-る	コウ	jiàng
高	高	高	たか-い、たか、たか-まる、たか-める	コウ	gāo
康	康	康		コウ	kāng
控	控	控	ひか-える	コウ	kòng
梗	梗	梗		コウ	gěng
黃	黄	黄	き、（こ）	コウ、オウ	huáng
喉	喉	喉	のど	コウ	hóu
慌	慌	慌	あわ-てる、あわ-ただしい	コウ	huāng
港	港	港	みなと	コウ	gǎng
硬	硬	硬	かた-い	コウ	yìng
絞	絞	绞	しぼ-る、し-める、し-まる	コウ	jiǎo
項	項	项		コウ	xiàng
溝	溝	沟	みぞ	コウ	gōu
構	構	构	かま-える、かま-う	コウ	gòu
綱	綱	纲	つな	コウ	gāng
酵	酵	酵		コウ	jiào
稿	稿	稿		コウ	gǎo
興	興	兴	おこ-る、おこ-す	コウ、キョウ	xìng
衡	衡	衡		コウ	héng
鋼	鋼	钢	はがね	コウ	gāng
講	講	讲		コウ	jiǎng
購	購	购		コウ	gòu
乞	乞	乞	こ-う		qǐ
號	号	号		ゴウ	hào
合	合	合	あ-う、あ-わす、あ-わせる	ゴウ、ガッ、（カッ）	hé
拷	拷	拷		ゴウ	kǎo
剛	剛	刚		ゴウ	gāng
傲	傲	傲		ゴウ	ào
豪	豪	豪		ゴウ	háo
克	克	克		コク	kè
告	告	告	つ-げる	コク	gào
谷	谷	谷	たに	コク	gǔ
刻	刻	刻	きざ-む	コク	kè
國	国	国	くに	コク	guó
黑	黒	黑	くろ、くろ-い	コク	hēi
酷	酷	酷		コク	kù
獄	獄	狱		ゴク	yù
骨	骨	骨	ほね	コツ	gǔ
駒	駒	驹	こま		jū
頃	頃	顷	ころ		qǐng
今	今	今	いま	コン、キン	jīn
困	困	困	こま-る	コン	kùn
昆	昆	昆		コン	kūn
恨	恨	恨	うら-む、うら-めしい	コン	hèn
根	根	根	ね	コン	gēn
婚	婚	婚		コン	hūn
混	混	混	ま-じる、ま-ざる、ま-ぜる、こ-む	コン	hùn
痕	痕	痕	あと	コン	hén
紺	紺	绀		コン	gàn
魂	魂	魂	たましい	コン	hún
墾	墾	垦		コン	kěn
懇	懇	恳	ねんご-ろ	コン	kěn
左	左	左	ひだり	サ	zuǒ
佐	佐	佐		サ	zuǒ
沙	沙	沙		サ	shā
